Carimbo de data/hora,conjunto,fazer_pedido,pedir_cardapio,pedir_conta,escolher_entrega,definir_pagamento,feedback
04/04/2022 02:14:13,Conjunto de Treino,"Quero uma Calabresa, uma muçarela e uma coca-cola",Me vê o cardápio,Qual o valor final?,"Para entregar na Avenida Afonso Pena, no Centro.",Vou mandar um pix.,"Estava tudo muito bom, parabéns!"
04/04/2022 02:21:15,Conjunto de Treino,Quero duas de bacon,Manda o Cardápio,Manda a conta,Venho buscar aqui.,Cartão de Crédito,"Nota 10, estava muito bom."
04/04/2022 02:23:15,Conjunto de Treino,"Quero uma quatro queijos, uma presunto, uma baiana e duas cocas.",Quais opções de pizza?,Total foi quanto?,Vou comer aqui.,Pagar com notas e moedas.,Demorou demais para a pizza ficar pronta.
04/04/2022 02:24:07,Conjunto de Teste,Uma muçarela e uma coca.,Quero o cardápio.,Quanto deu?,Quero comer aqui.,Cartão de Crédito.,Muito obrigado!
04/04/2022 02:33:10,Conjunto de Teste,Quero uma pizza de Brigadeiro e dois refrigerantes,O que vocês têm aí?,Quanto vai ficar?,"Entregar na rua itupiranga, portal do panamá.
",Pagar no débito.,Valeu!
06/04/2022 05:48:45,Conjunto de Treino,"Vou querer 1 pizza quatro queijos e 1 pizza de calabresa, acompanhado com 1 coca cola. ","Olá, Me vê o que tem no cardápio. Quais seriam os sabores da pizzas. Está disponível esse sabor hoje.",Quanto foi o total do pedido?,Entregar para o Bairro Portal do Panamá na Rua Itupiranga. ,"Vou pagar no cartão, vocês trazem a máquininha? ","Obrigado estou muito satisfeito, a pizza está muito boa e a entrega foi rápida. "
06/04/2022 05:57:14,Conjunto de Teste,Quero uma frango com catupiry. Para beber me trás um refrigerante,O que tem disponível?,Qual foi o total ?,Para entregar no bairro Zé Pereira ,Vou pagar no cartão de débito ,A pizza estava ótima 
06/04/2022 06:11:42,Conjunto de Treino,Quero uma de calabresa e uma coca ,"Olá boa noite,qual o cardápio ",Quanto deu por favor?,Vocês estrega na rua x no bairro y?,Vou pagar no cartão ,"Muito obrigado,a pizza estava uma delícia "
06/04/2022 06:13:53,Conjunto de Treino,Quero uma de calabresa e uma coca,"Olá boa noite,qual o cardápio?",Quanto deu por favor?,Vocês entregam no bairro y rua x?, Vou pagar no cartão de crédito ,"Muito obrigado,a pizza estava uma delícia "
06/04/2022 06:15:04,Conjunto de Treino,"Quero 2 portuguesa, 1 4queijos e duas cocas",Me vê o cardápio por favor ,Quanto ficou?,Quando estiver pronta venho buscar,Cartão de crédito ,A pizza estava excelente 
06/04/2022 06:36:43,Conjunto de Treino,Quero duas pizzas por favor sabor quatro queijos e uma metade baiana metade calabresa .,O Cardápio por favor 😊,A conta por favor ,Para entregar aqui na minha casa rua Itupiranga 333,Vou pagar no pix,Muito obrigado estava uma delícia as pizzas de vcs .
06/04/2022 06:52:28,Conjunto de Teste,Eu vou querer uma gigante meia quatro queijos meia calabresa e uma coca,Olá Boa Noite gostaria de ver o cardápio ,Qual o valor?,Vai ser entrega rua Oscar Leopoldo Durski Silva nmr 357 bairro paz e bem ,Cartão de débito ,A minha pizza veio trocada pedi de quatro queijos e calabresa e veio portuguesa e frango
06/04/2022 06:56:41,Conjunto de Teste,"Eu quero 1 frango com Bacon com borda, 1 refrigerante 2litros",Qual sabores é qual o valor ?,Qual o total ?,"Entregar na Rua Bento de Souza 522, nova capital","Máquina de cartão, crédito","Obrigado pelo atendimento, estava tudo muito bom"
06/04/2022 07:04:14,Conjunto de Teste,Gostaria uma metade calabresa e bacon e outra de quatro queijos e presunto ,Olá boa noite gostaria de pedir uma pizza! Oq vcs tem hoje ?,Quantos deu tudo?,Será entrega ok? Será no endereço rua Rui Barbosa número 1020,Vou pagar no cartão débito ,"Obrigada,a pizza estava uma delícia e o atendimento é ótimo "
06/04/2022 07:12:29,Conjunto de Teste,"Vai ser uma pizza de calabresa e uma bacon, para beber um guaraná de 2 litros ","Boa noite, me vê o cardápio ",Quanto ficou? ,Vou ir buscar ,Vai ser no cartão de débito ,"Muito obrigado, ótima pizza! "
06/04/2022 07:29:10,Conjunto de Treino,Vou querer uma marguerita e frango com catupiry,Boa noite! Pode me mandar o cardápio?,Quanto ficou meu pedido?,Entrega na minha casa rua Maceió 78 bairro Jardim imã ,Vou pagar no pix,Muito obrigado! Venho rápido!
06/04/2022 07:49:11,Conjunto de Teste,Quero 1 pizza metade calabresa e metade M&M e uma coca 2 litros,Pode me enviar seu cardápio?,Pode me enviar o total ?,"Entrega na rua José Carlos Silva de Almeida- 480, 
Apto E 11.","Quais as formas de pagamento ? Vou pagar no pix, caso tenha está opção.","Obrigada, entrega rápida e pizza deliciosa."
06/04/2022 07:56:12,Conjunto de Teste,3 pizzas de marguerita e um suco,Quais os sabores?,Qual o valor total?,Vou retirar no local,Cartão de crédito,Pizza Excelente 
06/04/2022 08:24:36,Conjunto de Teste,"2 pizzas meia a meia, Bacon, calabresa, frango com catupiry e quatro queijos ",Qual o valor da pizza X ,Qual o total?,"Entregar na rua Marechal Hermes, 693 - Vila Palmira ",Cartão de Crédito ,
06/04/2022 08:30:14,Conjunto de Treino,Vou querer uma pizza de marguerita e uma coca,Pode me enviar o cardapio?,Quanto fica?,Pra entregar na rua 14 de julho 4465,Vai ser no débito,"Muito boa a pizza, obrigada!"
06/04/2022 08:33:43,Conjunto de Treino,"Vou querer 2 pizzas, uma marguerita e uma quatro queijos. Pra beber uma água, por favor","Queria o cardápio, por favor",Quanto ficou?,Me avisa qd tiver pronta que eu venho buscar,"Vai ser no pix, pode ser?",A pizza veio fria
